	slide1	slide2	slide3	slide4	slide5	slide6	slide7	slide8	slide9	slide10
GENE102	3,967707	3,614964	4,522224	3,932883	3,847289	4,006066	3,783859	3,764785	4,827846	3,925355
GENE103	3,692805	3,891476	4,135719	3,769868	3,842751	3,838594	3,807311	3,801525	3,902668	4,128306
GENE104	7,043982	6,664447	8,448478	7,172534	7,661536	6,701745	7,520413	6,572367	8,209606	7,537031
GENE105	3,28297	3,245763	3,40614	3,306383	3,365245	3,251502	3,215291	3,452652	3,26851	3,452652
GENE106	4,287431	4,232505	3,916076	4,196713	3,755968	4,238526	4,154245	4,274777	4,204317	4,332236
GENE107	5,068266	5,034828	5,068266	4,929242	5,084084	4,956914	5,123538	4,932097	4,941903	5,139098
GENE108	6,568335	6,244098	5,960968	6,366977	5,660089	6,134237	6,346727	6,555164	6,336952	5,928868
GENE109	9,561233	8,966181	9,197824	9,062546	8,939995	9,065805	9,111847	8,909146	9,337412	8,908087
GENE110	4,82444	4,851522	5,533956	5,075768	4,538241	4,9179	5,038273	5,022969	5,62258	4,988241
GENE111	5,896032	5,642109	6,21427	6,10638	5,446964	6,326231	5,999532	6,446064	6,340283	6,276106
GENE112	5,247182	5,418575	5,27872	5,288821	5,193327	5,412626	5,126778	5,319252	5,272284	5,218611
GENE113	6,470627	6,710973	6,573457	6,684222	6,948054	6,88955	6,834634	6,628784	6,74531	6,825109
GENE114	3,093458	3,107196	3,084423	3,520625	3,091216	3,271902	3,333131	3,368952	3,343878	3,376758
GENE115	5,66357	4,951268	4,663989	5,103183	6,418865	5,551676	5,083451	4,892002	5,277285	4,841153
GENE116	3,65427	3,363877	3,662227	3,491096	3,155818	3,676524	3,781257	3,568426	3,347632	3,475404
GENE117	5,778615	7,3464	5,352597	6,406238	7,229288	6,317932	6,356262	7,035503	5,265354	5,98256
GENE118	6,132988	7,269409	6,422722	6,683908	6,76528	6,959384	7,15823	6,859943	6,33063	6,774221
GENE119	5,378082	5,967508	5,646925	5,699224	5,604436	5,731809	5,705464	5,876288	5,62876	5,813751
GENE120	4,494205	3,970353	4,184617	3,735098	3,915462	3,804632	4,024082	3,8277	4,131787	4,014062
GENE121	5,313824	5,633899	5,637867	5,673279	5,499035	5,706128	5,554519	5,481413	5,582937	5,792963
GENE122	4,989209	5,02041	4,861952	4,763595	4,718489	5,025387	4,961792	5,029276	5,064305	5,051726
GENE123	6,320387	6,473029	6,252885	6,620853	6,185947	6,41708	6,433945	6,66152	6,262357	6,572284
GENE124	8,071159	6,709068	10,807907	7,081638	7,527547	6,33806	7,934424	6,980692	8,326318	6,719815
GENE125	3,262005	3,377694	3,113273	3,260231	3,324391	3,369955	3,43151	3,171599	3,292487	3,453848
GENE126	5,292491	7,808912	5,067461	6,828295	5,64846	6,759159	6,522309	7,715189	5,061875	6,552959
GENE127	6,009983	6,16858	5,921742	5,757823	5,97172	5,955482	5,919396	5,90116	5,91711	5,893721
GENE128	3,980583	4,216801	3,994168	3,942997	4,230778	4,316354	3,890981	4,388412	4,101355	4,345563
GENE129	5,068327	5,523587	5,348041	5,521573	5,502844	5,659764	5,099833	5,43125	5,155582	5,424121
GENE130	6,235021	5,611315	6,374531	6,040174	5,457922	5,889009	5,971264	5,636756	6,337724	6,005534
GENE131	5,312332	5,349719	5,121544	5,16859	5,553608	5,373318	5,389035	5,367553	5,816155	5,713294
GENE132	3,507897	3,778671	3,33989	3,143052	3,448808	3,400239	3,407977	3,248674	3,426545	3,332534
GENE133	3,949244	4,140196	4,016879	4,019476	3,641714	3,965905	4,066741	4,029319	3,864614	4,156046
GENE134	6,175686	6,248639	5,996358	6,025755	6,104588	6,02554	5,828509	5,989562	5,849376	6,271685
GENE135	5,474489	4,848526	4,808249	4,955511	5,037238	4,921491	4,776996	5,062937	4,98685	5,205826
GENE136	5,122626	4,902402	4,860988	4,810597	5,623276	4,856068	4,860591	4,87465	4,749926	4,820081
GENE137	6,198634	6,023256	6,068365	6,04642	6,160133	6,280539	5,922124	6,172063	5,936811	6,13479
GENE138	4,444439	4,444439	4,356523	4,577425	4,230869	4,302438	4,217443	4,518791	4,55752	4,441459
GENE139	4,831696	4,979279	5,116463	4,936738	4,864887	5,135153	4,635423	4,855904	5,026463	4,941682
GENE140	3,150073	3,053108	3,13638	2,952226	3,074454	3,074454	2,883887	2,978309	3,174107	2,934138
GENE141	4,052796	3,876766	4,272265	4,244677	4,133222	4,312372	4,135563	3,969905	4,269089	4,244943
GENE142	6,943287	7,818947	7,133842	7,474415	9,095302	7,174048	7,432396	7,198244	9,113522	7,395636
GENE143	4,634343	4,266895	4,030845	4,251723	4,207428	4,18674	4,371014	4,212686	4,197846	4,336647
GENE144	4,41984	4,161651	4,062432	3,950541	4,024023	4,305822	3,960146	3,976551	4,193696	3,813216
GENE145	3,068852	2,944059	3,234347	3,250726	3,068269	3,146897	3,048957	3,277454	3,465382	3,320762
GENE146	4,757571	5,168212	4,289784	4,991107	4,578983	4,849198	4,91661	5,095611	4,704548	4,899874
GENE147	5,595463	5,776249	5,919612	5,801167	5,372678	5,915982	6,16353	6,110418	6,877916	5,971824
GENE148	2,879243	3,309414	2,942365	3,221564	3,378908	3,134115	3,139086	3,004801	2,735018	2,993031
GENE149	4,224445	4,21068	4,211833	4,039618	4,240928	4,318918	4,073663	3,964344	3,839132	4,105672
GENE150	6,789985	7,010867	6,335224	6,626369	6,721611	7,040534	6,835798	7,29526	6,337007	7,075791
GENE151	4,895694	4,542208	4,835728	5,001656	4,52523	5,059057	5,040621	6,224463	4,368995	4,809102
GENE152	3,308779	3,646346	3,704559	3,456752	3,471256	3,826992	3,544783	3,859875	3,472559	3,61848
GENE153	4,403879	3,967857	3,750206	3,793552	5,076882	3,928871	4,012501	3,497077	3,573487	3,664621
GENE154	3,692803	3,912432	3,647681	3,44321	3,586501	3,796958	3,726878	3,775348	3,846708	3,74824
GENE155	4,215618	4,176028	4,156159	4,210904	4,091423	4,215692	4,143292	4,305776	4,103521	4,214849
GENE156	4,375393	4,482443	4,533615	4,27592	4,431508	4,690745	4,621733	4,494855	4,537246	4,47253
GENE157	4,363522	4,530943	4,429174	4,182951	4,475468	4,633902	4,290553	4,332728	4,390686	4,636496
GENE158	5,083661	4,275304	4,682384	4,131468	3,785203	4,298833	4,497909	4,04874	4,847333	4,32479
GENE159	4,2293	4,349048	4,587721	4,180967	4,338531	4,438238	4,172879	4,30885	4,442431	4,366536
GENE160	3,448739	3,586274	3,27834	3,424414	3,539259	3,413444	3,35928	3,398254	3,390978	3,649825
GENE161	3,982744	3,824398	3,948011	3,900994	4,097358	3,935771	4,122324	4,107726	3,937692	3,940372
GENE162	3,941305	3,725072	3,903212	3,886669	3,615946	3,765756	3,734535	3,973719	3,878296	3,646843
GENE163	6,646589	7,401018	6,648429	7,326883	7,339894	6,71063	6,635717	7,062181	5,916885	6,916924
GENE164	4,355004	4,57687	4,052687	4,120971	4,168816	4,452113	4,252571	4,1747	4,231103	4,150021
GENE165	3,887613	4,093477	4,183997	4,168002	4,004482	4,164772	4,142443	4,066678	4,085482	4,183271
GENE166	5,758249	6,154101	5,715171	5,883294	5,706233	5,950723	5,799379	5,961821	5,76693	5,845758
GENE167	4,651317	4,831211	4,682384	4,701878	4,881884	4,43538	4,107576	4,524398	4,647758	4,569677
GENE168	2,842867	2,945266	2,94779	2,720057	2,842205	2,918782	2,965895	2,826183	3,026381	2,875245
GENE169	5,357776	8,290797	4,886985	7,516783	7,068262	7,098959	7,413471	8,307878	6,062596	7,37564
GENE170	5,964482	7,275307	5,510707	6,533765	5,965218	6,773511	6,288372	6,947437	5,648033	6,115569
GENE171	5,79613	8,861111	5,197908	8,314297	8,308826	7,616366	8,052356	8,464086	6,091694	7,186157
GENE172	5,536147	5,56844	5,393304	5,568907	5,579101	5,748116	5,581028	5,782523	5,702938	5,626317
GENE173	3,46159	2,941548	2,981646	3,093458	3,077033	2,910867	3,272019	3,217507	3,05553	3,233732
GENE174	3,651916	3,194342	3,876747	3,594266	3,65307	3,510953	3,612428	3,767097	4,065561	3,753865
GENE175	7,885656	7,572476	7,436619	7,956671	6,493793	8,546637	9,368497	8,859477	6,462187	8,485435
GENE176	3,110447	2,997313	3,182874	3,042341	3,154421	3,217796	3,166482	3,15327	3,22413	3,380348
GENE177	3,539367	3,521807	3,760751	3,756921	3,61041	3,704337	3,675809	3,588054	3,65316	3,795866
GENE178	3,701848	3,984578	4,000662	3,827992	3,795655	3,900586	3,663761	3,890112	4,331177	4,004949
GENE179	3,764365	3,958966	3,842773	3,889864	3,873677	3,928258	3,660614	4,211765	4,060006	3,84957
GENE180	8,05113	7,310723	8,247416	7,894563	7,351229	8,031523	7,585608	7,584594	8,164492	8,190809
GENE181	5,198037	7,607213	4,466345	6,918559	6,68842	6,748712	6,662294	7,650836	5,316393	6,910633
GENE182	3,767629	3,976284	3,807431	3,915213	3,644525	3,793349	3,881186	4,099518	4,014723	3,810332
GENE183	5,119343	4,625553	5,143638	4,681093	4,769162	4,796285	4,904043	4,693164	4,756285	4,773783
GENE184	4,572504	4,052485	4,014427	3,938737	4,653465	3,895469	4,085417	3,502057	3,858699	4,495063
GENE185	3,152941	3,324978	3,344603	3,404734	3,412558	3,511666	3,180533	3,501296	3,16473	3,480996
GENE186	6,330625	7,587235	6,214738	6,545909	6,8659	6,644781	6,865981	7,391554	6,203431	6,874073
GENE187	5,782737	5,396952	5,201352	5,41381	5,539962	5,238999	5,304682	5,336699	5,201352	5,092667
GENE188	4,226716	3,573798	4,284847	4,130729	4,154407	4,225683	4,177603	3,881818	4,824836	4,062758
GENE189	5,146875	5,189714	5,327324	5,162699	5,26509	5,201081	5,169858	5,144607	5,189532	5,260561
GENE190	7,000749	8,182934	7,167745	7,718094	7,343709	7,535097	7,321774	8,47397	7,269004	7,632741
GENE191	8,119803	11,17098	8,069968	10,369654	9,970729	9,982415	10,511516	11,417789	8,993242	10,168612
GENE192	3,479595	3,098345	3,12081	3,089769	3,490306	3,04884	3,299652	2,995411	3,303141	3,063991
GENE193	3,85105	3,558896	3,71995	3,314709	3,460814	3,439167	3,435562	3,440527	3,601945	3,410856
GENE194	5,462762	5,438641	5,234964	5,300048	5,1936	4,802113	4,877357	5,431188	5,1624	5,187217
GENE195	3,350224	3,20729	3,179917	3,159641	3,232361	3,380969	3,007721	3,187306	3,220983	3,052656
GENE196	5,235369	5,702828	5,07191	5,376671	5,270532	5,33708	5,190417	5,716556	4,99327	5,535954
GENE197	4,727135	4,948157	4,83801	4,812704	4,885331	4,820345	4,911033	4,886596	4,793305	4,80579
GENE198	5,506195	5,642567	5,571682	5,657387	5,431465	5,598391	5,60266	5,648619	5,619452	5,648177
GENE199	4,706024	4,695904	3,826604	4,970833	4,935893	5,116154	4,499978	4,233527	4,392587	4,641529
GENE200	5,335805	5,573504	5,581214	5,683832	5,28223	5,864866	5,600429	5,516352	5,41543	5,752478
GENE201	4,434159	4,56166	4,50678	4,355889	4,50678	4,435075	4,455634	4,540291	4,468183	4,41409
GENE202	5,643776	8,119832	5,988707	7,356066	6,995449	7,192894	7,63496	8,257856	5,458187	7,178291
GENE203	7,707561	10,800612	6,966076	9,476214	8,646043	9,435451	9,750716	10,669915	7,919101	9,40436
GENE204	3,287518	4,233968	3,362889	3,743807	3,037113	3,340471	3,111945	3,381913	3,277539	3,13638
GENE205	6,396058	6,048581	6,086143	6,26936	5,562935	6,356667	6,316726	6,143908	5,948089	6,112801
GENE206	3,823878	3,739332	3,779589	3,707497	3,754506	3,814401	3,811205	3,789408	3,831884	3,353465
GENE207	4,551549	4,611424	4,82921	4,582967	4,607715	4,769267	4,468872	4,815564	4,4813	4,739666
GENE208	6,088444	5,89913	5,898139	6,032891	5,910528	6,094603	5,975199	6,03337	5,685716	6,000189
GENE209	3,539848	3,567957	3,737948	3,577848	3,538346	3,575041	3,617318	3,764365	3,348553	3,741706
GENE210	3,319601	3,447719	3,179917	3,317875	3,373552	3,393009	3,489447	3,22344	2,965435	3,411238
GENE211	3,793946	4,60958	4,130432	3,708407	3,954313	3,862884	3,90407	3,94747	4,163309	3,906421
GENE212	3,567461	3,377225	3,732688	3,398902	3,341492	3,601945	3,429415	3,579925	3,549292	3,291937
GENE213	5,912847	5,610921	5,596272	5,44887	5,821732	5,486018	5,381634	5,485608	5,464017	5,665533
GENE214	3,351684	3,410491	3,143343	3,142539	3,026766	3,040753	2,970896	3,230412	3,129421	3,266926
GENE215	3,606873	3,368991	3,38112	3,270079	3,154845	3,451012	3,328366	3,282464	3,750194	3,148459
GENE216	7,529104	7,875271	8,022021	7,625099	7,150739	7,248924	8,003026	7,953645	8,093035	7,60414
GENE217	4,500974	4,903356	4,455007	5,045653	4,236625	4,769841	4,468814	4,769212	4,581515	4,704573
GENE218	8,260577	8,440584	8,693984	8,542094	7,711064	8,676221	8,521982	8,406193	8,728224	8,255993
GENE219	8,652434	8,524148	8,223238	8,68031	8,452908	8,407594	8,632488	8,718075	8,66261	8,761676
GENE220	4,465479	5,768842	5,272807	4,651348	4,766459	4,717526	4,577149	4,833154	5,246305	5,039581
GENE221	9,346806	8,628955	8,99558	9,041758	9,000826	8,975759	9,381241	8,559154	8,992835	8,711229
GENE222	8,514564	9,053073	9,910513	8,860513	10,045369	7,646156	8,892313	9,054609	8,819594	8,960082
GENE223	5,005877	5,307836	5,087846	5,099077	4,996246	5,245166	5,099523	5,014473	5,022795	5,085114
GENE224	6,818948	8,37349	6,799158	7,73148	7,200799	7,271879	7,860021	8,055357	6,759839	7,354046
GENE225	8,015519	8,145641	7,633395	7,739676	7,328288	7,933997	7,601059	7,895045	7,514196	7,336912
GENE226	7,288365	8,976582	6,595055	8,091369	7,805205	8,101012	8,239385	8,352448	6,890782	7,853296
GENE227	6,681573	6,355516	7,239696	6,145105	5,700075	6,384764	6,484795	6,034611	7,112943	6,768897
GENE228	2,961153	2,967176	2,93329	2,784457	2,908662	2,990565	2,925946	2,92364	3,056731	3,113154
GENE229	6,018605	5,551704	5,736164	6,245062	6,363477	5,145849	5,494101	5,049703	5,357393	4,908457
GENE230	3,969946	4,038855	4,271067	3,981718	3,848704	4,114955	4,097576	4,261238	4,250429	4,047187
GENE231	4,48045	4,439941	4,886097	4,362621	4,644767	4,747073	4,57678	4,437427	5,177132	4,627164
GENE232	6,788783	7,270848	6,716566	6,929878	6,918338	7,083844	6,919056	6,76982	6,711904	7,055154
GENE233	3,380071	3,118175	4,189443	3,396307	3,374061	3,524502	3,560869	3,312874	3,641468	3,416438
GENE234	6,480615	6,551035	6,485837	6,735331	5,744358	6,214176	6,18187	6,643958	6,661273	6,293036
GENE235	7,969859	8,730144	7,795309	8,305777	7,786841	8,293082	7,839045	8,326688	7,517426	7,781323
GENE236	4,444655	4,653728	4,459457	4,273961	4,336906	4,68822	4,556342	4,546704	4,358353	4,677006
